,Unnamed: 0,Type of Dwelling,General Zoning Classification,Linear feet of street connected to the property,Lot size in square feet,Type Of Road Access To Property,Type Of Alley Access To Property,General Shape of Property,Flatness Of The Property,Type Of Utilities Available,plot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Proximity to various conditions (if more than one is present),Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on the house,Masonry veneer type,Masonry veneer area in square feet,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,: Type 2 finished square feet ,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
10,10,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,11200,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,5,5,1965,1965,Hip,Standard (Composite) Shingle,Hard Board,None,0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,1040,1,0,1,0,3,1,TA,5,Typ,0,No,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,Feb,2008,WD,Normal,129500
11,11,2-STORY 1946 & NEWER,Residential Low-Density,85,11924,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,9,5,2005,2006,Hip,Standard (Composite) Shingle,Wood Shingles,Stone,286,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,No,No,No,0,Jul,2006,New,Partial,345000
12,12,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,12968,Paved,No Alley Access,Moderately Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,5,6,1962,1962,Hip,Standard (Composite) Shingle,Hard Board,None,0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,912,1,0,1,0,2,1,TA,4,Typ,0,No,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,No,No,No,0,Sep,2008,WD,Normal,144000
13,13,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,91,10652,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,7,5,2006,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone,306,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,No,No,No,0,Aug,2007,New,Partial,279500
14,14,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,10920,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Normal,Normal,6,5,1960,1960,Hip,Standard (Composite) Shingle,Metal Siding,Brick Face,212,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,1253,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,No,GdWo,No,0,May,2008,WD,Normal,157000
15,15,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,51,6120,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Brookside,Normal,Normal,7,8,1929,2001,Gable,Standard (Composite) Shingle,Wood Siding,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,854,0,854,0,0,1,0,2,1,TA,5,Typ,0,No,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,No,GdPrv,No,0,Jul,2007,WD,Normal,132000
16,16,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,11241,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,NAmes,Normal,Normal,6,7,1970,1970,Gable,Standard (Composite) Shingle,Wood Siding,Brick Face,180,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,No,No,Shed,700,Mar,2010,WD,Normal,149000
17,17,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,72,10791,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,4,5,1967,1967,Gable,Standard (Composite) Shingle,Metal Siding,None,0,TA,TA,Slab,No,No,No,No,0,No,0,0,0,GasA,TA,Y,SBrkr,1296,0,1296,0,0,2,0,2,2,TA,6,Typ,0,No,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,No,No,Shed,500,Oct,2006,WD,Normal,90000
18,18,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66,13695,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,RRAe&Norm,Normal,5,5,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,No,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,No,No,No,0,Jun,2008,WD,Normal,159000
19,19,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7560,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,5,6,1958,1965,Hip,Standard (Composite) Shingle,Brick Face,None,0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1339,0,1339,0,0,1,0,3,1,TA,6,Min1,0,No,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,No,MnPrv,No,0,May,2009,COD,Abnorml,139000
20,20,2-STORY 1946 & NEWER,Residential Low-Density,101,14215,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northridge Heights,Normal,Normal,8,5,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,380,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,No,No,No,0,Nov,2006,New,Partial,325300
21,21,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,57,7449,Paved,Gravel,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,7,7,1930,1950,Gable,Standard (Composite) Shingle,Wood Siding,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,1108,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0,205,0,0,0,No,GdPrv,No,0,Jun,2007,WD,Normal,139400
22,22,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,9742,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,8,5,2002,2002,Hip,Standard (Composite) Shingle,Vinyl Siding,Brick Face,281,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,No,No,No,0,Sep,2008,WD,Normal,230000
23,23,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,44,4224,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Meadow Village,Normal,Normal,5,7,1976,1976,Gable,Standard (Composite) Shingle,Cement Board,None,0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,1060,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,No,No,No,0,Jun,2007,WD,Normal,129900
24,24,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8246,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,5,8,1968,2001,Gable,Standard (Composite) Shingle,Plywood,None,0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,No,MnPrv,No,0,May,2010,WD,Normal,154000
25,25,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,110,14230,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northridge Heights,Normal,Normal,8,5,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone,640,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,No,No,No,0,Jul,2009,WD,Normal,256300
26,26,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,7200,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Normal,Normal,5,7,1951,2000,Gable,Standard (Composite) Shingle,Wood Siding,None,0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,900,0,900,0,1,1,0,3,1,Gd,5,Typ,0,No,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,No,No,No,0,May,2010,WD,Normal,134800
27,27,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,98,11478,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,8,5,2007,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone,200,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,No,No,No,0,May,2010,WD,Normal,306000
28,28,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,47,16321,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,NAmes,Normal,Normal,5,6,1957,1997,Gable,Standard (Composite) Shingle,Metal Siding,None,0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,1600,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,No,No,No,0,Dec,2006,WD,Normal,207500
29,29,1-STORY 1945 & OLDER,Residential Medium Density,60,6324,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Feedr&RRNn,Within 200 of North-South Railroad,4,6,1927,1950,Gable,Standard (Composite) Shingle,Metal Siding,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,520,0,520,0,0,1,0,1,1,Fa,4,Typ,0,No,Detchd,1920.0,Unf,1,240,Fa,TA,Y,49,0,87,0,0,0,No,No,No,0,May,2008,WD,Normal,68500
30,30,2-STORY 1945 & OLDER,C (all),50,8500,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Feedr&Norm,Normal,4,4,1920,1950,Gabrel (Barn),Standard (Composite) Shingle,Brick Face,None,0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,649,668,1317,0,0,1,0,3,1,TA,6,Typ,0,No,Detchd,1920.0,Unf,1,250,TA,Fa,N,0,54,172,0,0,0,No,MnPrv,No,0,Jul,2008,WD,Normal,40000
31,31,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8544,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Sawyer,Normal,Normal,5,6,1966,2006,Gable,Standard (Composite) Shingle,Hard Board,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,No,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,65,0,0,0,0,No,MnPrv,No,0,Jun,2008,WD,Normal,149350
32,32,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,85,11049,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,College Creek,Normal,Normal,8,5,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,No,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,30,0,0,0,0,No,No,No,0,Jan,2008,WD,Normal,179900
33,33,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,10552,Paved,No Alley Access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,5,5,1959,1959,Hip,Standard (Composite) Shingle,Brick Face,None,0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,Gd,Y,SBrkr,1700,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Y,0,38,0,0,0,0,No,No,No,0,Apr,2010,WD,Normal,165500
34,34,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,60,7313,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,9,5,2005,2005,Hip,Standard (Composite) Shingle,Metal Siding,Brick Face,246,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,Y,SBrkr,1561,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,556,TA,TA,Y,203,47,0,0,0,0,No,No,No,0,Aug,2007,WD,Normal,277500
35,35,2-STORY 1946 & NEWER,Residential Low-Density,108,13418,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,8,5,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone,132,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,113,32,0,0,0,0,No,No,No,0,Sep,2006,WD,Normal,309000
36,36,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,112,10859,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,College Creek,Normal,Normal,5,5,1994,1995,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,1097,0,0,1,1,3,1,TA,6,Typ,0,No,Attchd,1995.0,Unf,2,672,TA,TA,Y,392,64,0,0,0,0,No,No,No,0,Jun,2009,WD,Normal,145000
37,37,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,74,8532,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,5,6,1954,1990,Hip,Standard (Composite) Shingle,Wood Siding,Brick Face,650,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,Y,SBrkr,1297,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,498,TA,TA,Y,0,0,0,0,0,0,No,No,No,0,Oct,2009,WD,Normal,153000
38,38,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,68,7922,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,5,7,1953,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,None,0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,1057,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,No,Detchd,1953.0,Unf,1,246,TA,TA,Y,0,52,0,0,0,0,No,No,No,0,Jan,2010,WD,Abnorml,109000
39,39,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,65,6040,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Normal,4,5,1955,1955,Gable,Standard (Composite) Shingle,Asbestos Shingles,None,0,TA,TA,PConc,No,No,No,No,0,No,0,0,0,GasA,TA,N,FuseP,1152,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,No,No,,No,0,0,No,No,N,0,0,0,0,0,0,No,No,No,0,Jun,2008,WD,AdjLand,82000
40,40,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,84,8658,Paved,No Alley Access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,6,5,1965,1965,Gable,Standard (Composite) Shingle,Wood Siding,Brick Face,101,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,Y,SBrkr,1324,0,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,440,TA,TA,Y,0,138,0,0,0,0,No,GdWo,No,0,Dec,2006,WD,Abnorml,160000
